year,value,confidence,note
1970,28,low,"between Miller Samuel decade avgs: 1960s $25/sqft and 1970s $45/sqft (DE 100-years series)"
1973,38,low,"run-up before fiscal crisis; 1970s decade avg $45/sqft"
1977,42,medium,"WaPo 1981: co-op prices rose <20% 1973-77 with some declines; 1977 UWS 2BR co-op $41K (~$45/sqft)"
1980,70,low,"takeoff begins post-fiscal crisis; consistent with ~6x rise across the 1980s"
1984,150,low,"mid-1980s conversion/condo boom"
1987,240,medium,"late-80s peak; Miller Samuel narrative: ~sixfold increase during the 1980s from $45"
1990,225,medium,"early-90s recession begins"
1993,185,medium,"early-90s bust trough, roughly -25% from peak"
1995,200,medium,"recovery begins"
2000,430,high,"Manhattan median sale $430K in 2000 (Miller Samuel); avg ppsf ~$430"
2003,550,medium,"post-9/11 rebound"
2006,900,medium,"boom late stage"
2008,1100,high,"pre-Lehman peak, Miller Samuel avg ppsf ~$1,100"
2009,950,medium,"GFC dip ~-15%"
2012,1100,medium,"recovery to prior peak"
2015,1400,medium,"luxury/new-dev boom"
2017,1500,high,"cycle peak era (StreetEasy Manhattan index peaked 2017-18)"
2020,1400,medium,"COVID dip"
2023,1450,medium,"sideways market"
2026,1550,high,"record median $1.25M Q2 2026, +4.2% YoY (Elliman); avg ppsf still near 2017 levels"
