year,value,confidence,note
1970,17.1,medium,"NAR existing-home median $23.0K scaled to Case-Shiller Jan-1987=63.7 anchor"
1975,26.3,medium,"NAR median $35.3K, same scaling"
1980,46.3,medium,"NAR median $62.2K, same scaling"
1985,56.2,medium,"NAR median $75.5K, same scaling"
1987,63.7,high,"Case-Shiller national index start value, Jan 1987"
1990,76,high,"Case-Shiller national"
1994,78,high,"Case-Shiller national, flat early 90s"
1997,85,high,"Case-Shiller national"
2000,100,high,"Case-Shiller national base, Jan 2000 = 100"
2006,184,high,"Case-Shiller national peak Jul 2006 = 184.6"
2009,146,high,"Case-Shiller national"
2012,134,high,"Case-Shiller national trough Feb 2012"
2015,175,high,"Case-Shiller national"
2017,196,high,"Case-Shiller national, Dec 2017"
2020,236,high,"Case-Shiller national, Dec 2020"
2022,298,high,"Case-Shiller national, Dec 2022 (mid-22 peak ~308)"
2024,324,high,"Case-Shiller national"
2026,330,high,"Case-Shiller national ~329.9 Mar 2026, +0.7% YoY"
